ID,heure,temperature,hygrometrie,masse,position
0,2024/01/01 00:00:00,9.55,31.05,17.84,"-39.718197,144.56307"
1,2024/01/01 01:00:00,10.68,97.48,24.84,"-85.861369,-12.512043"
2,2024/01/01 02:00:00,48.69,37.74,34.68,"-6.176302,64.449278"
3,2024/01/01 03:00:00,4.25,69.92,33.94,"-18.855847,-62.66459"
4,2024/01/01 04:00:00,6.85,21.89,13.16,"-52.380395,-23.08922"
5,2024/01/01 05:00:00,19.43,36.73,71.01,"-5.098439,-78.408938"
6,2024/01/01 06:00:00,18.82,71.88,49.98,"61.560685,111.551177"
7,2024/01/01 07:00:00,14.48,15.84,43.73,"-24.26135,-11.268103"
8,2024/01/01 08:00:00,49.39,29.82,47.29,"-72.991152,96.367884"
9,2024/01/01 09:00:00,46.29,60.67,73.06,"81.207688,-48.142326"
10,2024/01/01 10:00:00,3.42,83.74,29.52,"-86.762676,-124.654944"
11,2024/01/01 11:00:00,47.69,32.0,55.6,"-88.464782,47.92271"
12,2024/01/01 12:00:00,27.74,79.65,80.84,"-48.095355,108.152454"
13,2024/01/01 13:00:00,22.77,2.04,64.45,"16.133367,59.710862"
14,2024/01/01 14:00:00,41.29,76.76,42.3,"70.157993,17.048618"
15,2024/01/01 15:00:00,42.61,79.71,62.31,"-63.309914,104.010922"
16,2024/01/01 16:00:00,43.71,44.67,63.12,"53.544541,-90.1114"
17,2024/01/01 17:00:00,3.82,42.15,77.68,"59.917155,-90.474274"
18,2024/01/01 18:00:00,1.91,50.4,7.38,"-79.541264,34.693733"
19,2024/01/01 19:00:00,9.06,50.91,16.15,"21.308863,-100.518913"
20,2024/01/01 20:00:00,20.35,23.16,20.21,"52.528416,-116.734598"
21,2024/01/01 21:00:00,29.09,19.92,86.72,"52.882996,-26.107611"
22,2024/01/01 22:00:00,17.26,80.14,44.64,"45.834678,36.374199"
23,2024/01/01 23:00:00,30.12,28.97,64.68,"20.843948,-94.279477"
24,2024/01/02 00:00:00,8.12,32.5,77.83,"65.934879,73.400744"
25,2024/01/02 01:00:00,22.17,69.33,86.82,"-11.893569,-142.271325"
26,2024/01/02 02:00:00,8.37,13.52,3.7,"-69.792191,-127.69784"
27,2024/01/02 03:00:00,36.99,37.56,95.52,"-30.430485,-128.195515"
28,2024/01/02 04:00:00,40.46,95.56,3.08,"-62.520143,-78.284868"
29,2024/01/02 05:00:00,5.79,45.36,15.23,"65.90644,-175.788808"
30,2024/01/02 06:00:00,27.34,66.69,36.41,"-16.047706,-19.235097"
31,2024/01/02 07:00:00,9.91,75.24,49.1,"-7.412855,-105.488127"
32,2024/01/02 08:00:00,21.25,52.1,22.54,"37.371662,160.281732"
33,2024/01/02 09:00:00,45.32,81.72,88.72,"75.024189,25.910154"
34,2024/01/02 10:00:00,38.62,61.9,74.51,"-47.708233,84.847609"
35,2024/01/02 11:00:00,10.79,54.44,7.91,"-36.184876,19.669596"
36,2024/01/02 12:00:00,6.23,51.08,39.51,"25.364133,72.211718"
37,2024/01/02 13:00:00,36.95,14.44,35.91,"-41.625663,138.76409"
38,2024/01/02 14:00:00,33.22,2.81,1.34,"69.52659,70.828172"
39,2024/01/02 15:00:00,41.15,60.41,86.08,"39.727464,-114.629202"
40,2024/01/02 16:00:00,46.07,25.33,78.73,"-73.903063,111.885282"
41,2024/01/02 17:00:00,6.5,66.39,89.74,"-73.609685,-89.312342"
42,2024/01/02 18:00:00,14.57,49.39,52.67,"-87.41313,8.806998"
43,2024/01/02 19:00:00,32.47,0.26,59.81,"-56.435105,74.709125"
44,2024/01/02 20:00:00,14.91,55.97,80.17,"-83.050898,-146.098632"
45,2024/01/02 21:00:00,47.02,27.83,40.83,"-73.203285,149.125127"
46,2024/01/02 22:00:00,30.28,90.86,33.43,"17.009135,-179.877208"
47,2024/01/02 23:00:00,18.18,24.26,58.59,"3.157954,-108.098854"
48,2024/01/03 00:00:00,48.18,84.14,66.78,"-8.322911,-153.291776"
49,2024/01/03 01:00:00,24.57,69.96,80.98,"23.294475,33.042921"
50,2024/01/03 02:00:00,43.24,67.1,81.41,"-48.773429,76.319692"
51,2024/01/03 03:00:00,45.17,74.0,6.16,"10.868165,-56.709657"
52,2024/01/03 04:00:00,44.49,19.83,87.86,"31.473334,-135.02911"
53,2024/01/03 05:00:00,4.33,78.23,10.97,"-43.428828,-70.587732"
54,2024/01/03 06:00:00,8.61,29.27,8.92,"28.256835,172.37767"
55,2024/01/03 07:00:00,7.49,80.38,53.62,"52.989679,-106.188871"
56,2024/01/03 08:00:00,28.57,85.79,63.51,"3.618412,42.943894"
57,2024/01/03 09:00:00,21.61,86.24,13.89,"-20.994808,112.280134"
58,2024/01/03 10:00:00,43.55,35.67,97.41,"89.494283,-37.618391"
59,2024/01/03 11:00:00,13.99,44.64,77.71,"66.496656,-66.667109"
60,2024/01/03 12:00:00,8.61,2.84,73.33,"57.530401,-153.041727"
61,2024/01/03 13:00:00,42.19,20.79,43.81,"76.966589,-25.929376"
62,2024/01/03 14:00:00,24.91,58.31,39.44,"-81.098367,11.947154"
63,2024/01/03 15:00:00,45.08,82.87,49.19,"16.472288,-57.441361"
